time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-27T13:49:44.247Z,35.5966,140.852,45.469,4.4,mb,25,139,2.34,0.95,us,us7000k4gk,2023-05-28T03:34:29.727Z,"15 km S of Hasaki, Japan",earthquake,8.05,8.659,0.155,12,reviewed,us,us
2023-05-27T13:25:30.953Z,-5.854,149.1319,108.559,4.4,mb,25,113,3.442,0.86,us,us7000k4gg,2023-05-27T14:36:48.040Z,"New Britain region, Papua New Guinea",earthquake,11.75,9.716,0.117,21,reviewed,us,us
2023-05-27T12:28:49.286Z,62.5053,-151.5037,96,2.5,ml,,,,0.57,ak,ak0236rbbboy,2023-05-27T12:44:18.040Z,"38 km W of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-05-27T12:05:35.610Z,18.1703333333333,-67.3661666666667,8.12,2.68,md,9,213,0.2385,0.13,pr,pr71411268,2023-05-27T12:23:04.840Z,"Mona Passage",earthquake,0.53,0.77,0.117036440319773,8,reviewed,pr,pr
2023-05-27T10:37:13.090Z,44.5913333333333,-114.578833333333,8.25,2.54,ml,46,45,0.5463,0.24,mb,mb90015918,2023-05-27T14:55:10.090Z,"29 km WNW of Challis, Idaho",earthquake,0.4,0.91,0.185805054023608,36,reviewed,mb,mb
2023-05-27T09:19:51.040Z,19.652,-65.7881,29,3.76,md,12,246,1.4364,0.29,pr,pr2023147003,2023-05-27T10:17:07.221Z,"135 km N of Suárez, Puerto Rico",earthquake,1.33,22.16,0.06,7,reviewed,pr,pr
2023-05-27T08:54:18.790Z,17.956,-66.8896666666667,11.25,2.51,md,11,204,0.02138,0.08,pr,pr71411238,2023-05-27T09:11:14.890Z,"2 km S of Maria Antonia, Puerto Rico",earthquake,0.79,0.35,0.34917516005779,9,reviewed,pr,pr
2023-05-27T08:24:28.924Z,31.71736936,-104.2657589,7.416967772999999,2.9,ml,18,68,0.03975384346,0.2,tx,tx2023khkc,2023-05-27T14:21:25.611Z,"51 km SSE of Whites City, New Mexico",earthquake,0.8375219671000002,0.7252081049,0.1,13,reviewed,tx,tx
2023-05-27T07:45:15.459Z,-24.0184,-67.0667,220.685,4.2,mb,22,107,1.473,0.68,us,us7000k4fe,2023-05-27T08:05:34.040Z,"79 km WNW of San Antonio de los Cobres, Argentina",earthquake,12.14,13.323,0.305,3,reviewed,us,us
2023-05-27T07:25:11.660Z,17.9383333333333,-66.9586666666667,14.44,2.97,md,21,219,0.05833,0.11,pr,pr71411208,2023-05-27T08:01:34.530Z,"6 km SW of Guánica, Puerto Rico",earthquake,0.54,0.37,0.267739685897137,13,reviewed,pr,pr
2023-05-27T06:48:11.784Z,54.3893,163.7772,10,4,mb,26,146,3.34,0.6,us,us7000k4f4,2023-05-27T07:07:02.040Z,"220 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,9.67,1.872,0.113,21,reviewed,us,us
2023-05-27T06:01:11.727Z,9.2629,-75.3459,40.015,4.5,mb,58,103,0.651,0.69,us,us7000k4ez,2023-05-27T06:19:22.040Z,"7 km SE of Sincelejo, Colombia",earthquake,5.55,8.944,0.063,74,reviewed,us,us
2023-05-27T05:52:47.559Z,8.4483,126.5777,79.752,4.5,mb,39,125,1.69,0.93,us,us7000k4ex,2023-05-27T06:10:13.040Z,"Mindanao, Philippines",earthquake,11.16,8.454,0.102,28,reviewed,us,us
2023-05-27T05:24:48.460Z,19.536,-66.2878,28,3.89,md,20,245,1.0861,0.4,pr,pr2023147002,2023-05-27T06:12:49.223Z,"118 km N of Brenas, Puerto Rico",earthquake,1.62,25.23,0.06,9,reviewed,pr,pr
2023-05-27T05:06:38.936Z,-24.1886,179.6882,534.868,4.4,mb,13,123,5.487,0.57,us,us7000k4es,2023-05-27T05:31:28.040Z,"south of the Fiji Islands",earthquake,19.14,14.592,0.169,10,reviewed,us,us
2023-05-27T04:51:40.700Z,19.6198,-66.3206,30,3.69,md,15,276,1.1616,0.31,pr,pr2023147001,2023-05-27T06:12:29.870Z,"127 km N of Brenas, Puerto Rico",earthquake,1.65,19.96,0.03,7,reviewed,pr,pr
2023-05-27T02:44:38.700Z,17.9018333333333,-66.8615,13.01,2.69,md,11,233,0.07476,0.08,pr,pr71411153,2023-05-27T08:35:35.920Z,"8 km SSE of Maria Antonia, Puerto Rico",earthquake,0.68,0.36,0.112622423654047,5,reviewed,pr,pr
2023-05-27T02:09:17.600Z,19.4393,-65.6695,111,3.85,md,12,274,1.1961,0.52,pr,pr2023147000,2023-05-27T02:53:00.214Z,"113 km N of Suárez, Puerto Rico",earthquake,8.07,11.17,0.05,4,reviewed,pr,pr
