FID,Rock Name,Rock Type,Aquifer Name,Aquifer Code,Shape__Area,Shape__Length
3933,Carbonate-rock,400,Floridan Aquifer System,413,1792419.615,6495.662132
3934,Carbonate-rock,400,Floridan Aquifer System,413,699076.7578,3171.541565
3935,Carbonate-rock,400,Floridan Aquifer System,413,825398.752,3703.936805
3936,Carbonate-rock,400,Floridan Aquifer System,413,692498.7207,3167.023422
3937,Carbonate-rock,400,Floridan Aquifer System,413,799320.7852,3399.940537
3938,Unconsolidated sand and gravel,100,Surficial Aquifer System,111,3942712.094,8056.799131
3940,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,3505005.129,10126.94063
3941,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,403361131.3,265534.3393
3942,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,5577363.555,15194.1368
3943,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,620998.7656,3022.698561
3944,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,3387464.309,9289.411889
3945,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,669326.6094,3221.319015
3946,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,2181549.051,9367.076513
3947,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,688603.5273,3929.984789
3948,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,972038.4883,4148.435041
3949,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,1028863.672,4916.748885
3951,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,902254.8516,4328.233781
3955,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,587975.4883,3119.870846
3956,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,1269650.928,5602.679705
3957,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,1618188.41,7043.660353
3958,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,1770093.143,6474.847394
3959,Carbonate-rock,400,Floridan Aquifer System,413,4251246.527,9479.604336
3960,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,1605326.504,7085.833501
3961,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,559958.7012,3197.437998
3962,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,455979.0684,2673.776669
3963,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,1833000.605,7349.50809
3964,Unconsolidated sand and gravel,100,Surficial Aquifer System,111,77502136.07,116836.1648
3965,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,4550552.768,11372.37032
3966,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,205298187.1,210232.0595
3967,Carbonate-rock,400,Floridan Aquifer System,413,895916.1406,4180.832756
3968,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,1068070.408,4597.953342
